Date,Count,Distance
6/4/16 0:00,7,15625
6/5/16 0:00,12,66043
6/6/16 0:00,19,88703
6/7/16 0:00,22,163491
6/8/16 0:00,35,209325
6/9/16 0:00,55,277969
6/10/16 0:00,45,231285
6/11/16 0:00,51,261901
6/12/16 0:00,44,191282
6/13/16 0:00,14,30422
6/14/16 0:00,26,153156
6/15/16 0:00,15,98034
6/16/16 0:00,87,485589
6/17/16 0:00,262,1500124
6/18/16 0:00,413,2003265
6/19/16 0:00,388,2124134
6/20/16 0:00,109,993188
6/21/16 0:00,89,668170
6/22/16 0:00,175,1055051
6/23/16 0:00,154,943772
6/24/16 0:00,234,1506196
6/25/16 0:00,530,3243159
6/26/16 0:00,474,2873218
6/27/16 0:00,119,1056082
6/28/16 0:00,91,655766
6/29/16 0:00,111,923336
6/30/16 0:00,163,1354842
7/1/16 0:00,308,2271385
7/2/16 0:00,731,4630748
7/3/16 0:00,799,4899070
7/4/16 0:00,469,3066134
7/5/16 0:00,300,2498462
7/6/16 0:00,187,1544988
7/7/16 0:00,214,1808865
7/8/16 0:00,268,1957387
7/9/16 0:00,646,4058946
7/10/16 0:00,629,4334979
7/11/16 0:00,176,1572188
7/12/16 0:00,152,1524676
7/13/16 0:00,233,1893924
7/14/16 0:00,359,2946923
7/15/16 0:00,386,2975913
7/16/16 0:00,716,4458305
7/17/16 0:00,734,4916618
7/18/16 0:00,176,1576773
7/19/16 0:00,185,1678027
7/20/16 0:00,249,1972818
7/21/16 0:00,355,2865245
7/22/16 0:00,519,4473000
7/23/16 0:00,1047,7844330
7/24/16 0:00,1013,8702378
7/25/16 0:00,279,3487475
7/26/16 0:00,274,2981279
7/27/16 0:00,312,3272938
7/28/16 0:00,377,3672379
7/29/16 0:00,586,4348458
7/30/16 0:00,994,7502771
7/31/16 0:00,976,7973998
8/1/16 0:00,302,3090596
8/2/16 0:00,251,2476039
8/3/16 0:00,317,2900160
8/4/16 0:00,524,4422728
8/5/16 0:00,523,4843769
8/6/16 0:00,1263,9540324
8/7/16 0:00,1928,14573089
8/8/16 0:00,442,5071338
8/9/16 0:00,415,3964301
8/10/16 0:00,526,4783927
8/11/16 0:00,763,6250119
8/12/16 0:00,1223,10282994
8/13/16 0:00,2297,17827101
8/14/16 0:00,2125,17612092
8/15/16 0:00,544,5448629
8/16/16 0:00,536,4418964
8/17/16 0:00,773,6959472
8/18/16 0:00,845,7586081
8/19/16 0:00,1209,11396379
8/20/16 0:00,2542,19159078
8/21/16 0:00,2356,19080554
8/22/16 0:00,738,7594402
8/23/16 0:00,990,8070582
8/24/16 0:00,882,7775401
8/25/16 0:00,940,8146261
8/26/16 0:00,2303,16072804
8/27/16 0:00,3800,25549142
8/28/16 0:00,3595,28207212
8/29/16 0:00,998,9536834
8/30/16 0:00,816,6952368
8/31/16 0:00,1011,8186565
9/1/16 0:00,1455,12607144
9/2/16 0:00,2813,21077805
9/3/16 0:00,4660,35386691
9/4/16 0:00,4741,34810328
9/5/16 0:00,3236,29105144
9/6/16 0:00,1167,11512616
9/7/16 0:00,1140,9301509
9/8/16 0:00,1412,11622001
9/9/16 0:00,2288,17937134
9/10/16 0:00,5046,37760192
9/11/16 0:00,3664,55420293
9/12/16 0:00,1472,14278814
9/13/16 0:00,1211,11151964
9/14/16 0:00,1606,16268010
9/15/16 0:00,2044,19467723
9/16/16 0:00,3755,34585091
9/17/16 0:00,5678,47314267
9/18/16 0:00,6032,54458450
9/19/16 0:00,2046,20090226
9/20/16 0:00,1805,17179059
9/21/16 0:00,2136,37673764
9/22/16 0:00,2741,23819489
9/23/16 0:00,4326,35847464
9/24/16 0:00,6259,115065520
9/25/16 0:00,6878,59396224
9/26/16 0:00,2523,24709100
9/27/16 0:00,2021,19336701
9/28/16 0:00,2388,22049399
9/29/16 0:00,3212,30806543
9/30/16 0:00,7178,63419968
10/1/16 0:00,10561,85634021
10/2/16 0:00,10872,89482173
10/3/16 0:00,5048,48223321
10/4/16 0:00,2259,21929212
10/5/16 0:00,2623,24227009
10/6/16 0:00,4048,35754347
10/7/16 0:00,9257,79008635
10/8/16 0:00,12669,103318011
10/9/16 0:00,12779,107774487
10/10/16 0:00,6698,66143204
10/11/16 0:00,2788,28105129
10/12/16 0:00,2707,26715553
10/13/16 0:00,3099,30078664
10/14/16 0:00,5527,42876321
10/15/16 0:00,9920,71615222
10/16/16 0:00,8593,71658749
10/17/16 0:00,3150,32437367
10/18/16 0:00,2688,25494869
10/19/16 0:00,3206,30614663
10/20/16 0:00,4088,41060141
10/21/16 0:00,6052,59316274
10/22/16 0:00,9574,93435149
10/23/16 0:00,9216,95372855
10/24/16 0:00,4065,42728898
10/25/16 0:00,2779,28406970
10/26/16 0:00,2794,25867736
10/27/16 0:00,3365,32231119
10/28/16 0:00,6064,48452042
10/29/16 0:00,11731,86930686
10/30/16 0:00,12865,105760009
10/31/16 0:00,3524,34008560
11/1/16 0:00,3855,32803281
11/2/16 0:00,2958,25667730
11/3/16 0:00,4057,35017175
11/4/16 0:00,5568,47461479
11/5/16 0:00,8492,65733958
11/6/16 0:00,9232,76195782
11/7/16 0:00,4340,42488296
11/8/16 0:00,3648,31561405
11/9/16 0:00,4734,38641796
11/10/16 0:00,4944,46691613
11/11/16 0:00,6986,62357779
11/12/16 0:00,10907,81893326
11/13/16 0:00,9586,80225101
11/14/16 0:00,3675,37290134
11/15/16 0:00,3175,28794616
11/16/16 0:00,3334,30261567
11/17/16 0:00,3748,34093722
11/18/16 0:00,6570,51960941
11/19/16 0:00,10632,77435294
11/20/16 0:00,9948,74593774
11/21/16 0:00,3714,32949980
11/22/16 0:00,3779,37826408
11/23/16 0:00,3917,38973730
11/24/16 0:00,3378,32007595
11/25/16 0:00,3321,28705150
11/26/16 0:00,5543,46441397
11/27/16 0:00,5339,50969502
11/28/16 0:00,3343,36629718
11/29/16 0:00,2867,28727788
11/30/16 0:00,3021,27925964
12/1/16 0:00,3738,33000015
12/2/16 0:00,6055,46756414
12/3/16 0:00,10453,74236236
12/4/16 0:00,10185,77553506
12/5/16 0:00,4079,34565248
12/6/16 0:00,4193,34089616
12/7/16 0:00,4564,37170693
12/8/16 0:00,4386,39748960
12/9/16 0:00,4704,41305078
12/10/16 0:00,9743,79975791
12/11/16 0:00,10808,91179282
12/12/16 0:00,3786,37086994
12/13/16 0:00,3449,31531857
12/14/16 0:00,4306,37728139
12/15/16 0:00,4633,40805554
12/16/16 0:00,6063,54824812
12/17/16 0:00,8789,73765737
12/18/16 0:00,8828,76867873
12/19/16 0:00,3538,34983733
12/20/16 0:00,3287,32511986
12/21/16 0:00,3586,35580868
12/22/16 0:00,3805,38852837
12/23/16 0:00,4192,42715564
12/24/16 0:00,3646,37075652
12/25/16 0:00,1597,16897367
12/26/16 0:00,1793,19947036
12/27/16 0:00,2645,30105014
12/28/16 0:00,2932,29294784
12/29/16 0:00,3724,36502265
12/30/16 0:00,5112,47324427
12/31/16 0:00,7211,59313128
1/1/17 0:00,14231,126839554
1/2/17 0:00,3814,38344557
1/3/17 0:00,2928,32543888
1/4/17 0:00,2869,30065117
1/5/17 0:00,3474,32672141
1/6/17 0:00,4911,42204051
1/7/17 0:00,7286,56216247
1/8/17 0:00,8777,68856232
1/9/17 0:00,4208,40040702
1/10/17 0:00,3971,35227008
1/11/17 0:00,4297,39753605
1/12/17 0:00,4322,41170030
1/13/17 0:00,5730,52062033
1/14/17 0:00,10340,82321777
1/15/17 0:00,9577,78573892
1/16/17 0:00,6311,57697658
1/17/17 0:00,4283,38984035
1/18/17 0:00,4536,36620294
1/19/17 0:00,4783,41921525
1/20/17 0:00,7235,67759576
1/21/17 0:00,11979,113522708
1/22/17 0:00,11927,105394527
1/23/17 0:00,4539,43864806
1/24/17 0:00,3807,34596586
1/25/17 0:00,4190,39173559
1/26/17 0:00,4789,44717091
1/27/17 0:00,7396,60223517
1/28/17 0:00,10730,82571119
1/29/17 0:00,12587,111138186
1/30/17 0:00,4397,42268591
1/31/17 0:00,3839,34748079
2/1/17 0:00,4383,38680396
2/2/17 0:00,5115,46278146
2/3/17 0:00,7631,60348564
2/4/17 0:00,11292,84537513
2/5/17 0:00,11840,95461363
2/6/17 0:00,5045,49962199
2/7/17 0:00,1535,13600339